"parent_res_site_id","site_id","res_site_parent_id","res_site_code","res_site_name","child1_res_site_id","site_id","res_site_parent_id","res_site_code","res_site_name","child2_res_site_id","site_id","res_site_parent_id","res_site_code","res_site_name","child3_res_site_id","site_id","res_site_parent_id","res_site_code","res_site_name"
374,41,330,"11109000",SANTA CLARA R NRPIRU CA (USGS),,,,,,,,,,,,,,,
375,41,330,"11109600",PIRU CREEK ABOVE LAKE PIRU CA (USGS),,,,,,,,,,,,,,,
331,41,330,"11114000",SANTA CLARA RIVER AT MONTALVO CA (USGS),,,,,,,,,,,,,,,
333,41,332,"11118500",VENTURA R NR VENTURA (USGS),,,,,,,,,,,,,,,
346,41,332,"11118501",VENTURA R NR VENTURA+ DIV. CA (USGS),,,,,,,,,,,,,,,
347,41,335,"11119500",CARPINTERIA C NR CARPINTERIA CA (USGS),,,,,,,,,,,,,,,
348,41,337,"11119745",MISSION C A RNP A SANTA BARBARA CA (USGS),,,,,,,,,,,,,,,
349,41,337,"11119750",MISSION C NR MISSION ST NR SANTA BARBARA CA (USGS),,,,,,,,,,,,,,,
350,41,338,"11119780",ARROYO BURRO A SANTA BARBARA CA (USGS),,,,,,,,,,,,,,,
351,41,340,"11119940",MARIA YGNACIO C A UNIV DR NR GOLETA CA (USGS),,,,,,,,,,,,,,,
352,41,340,"11120000",ATASCADERO C NR GOLETA CA (USGS),,,,,,,,,,,,,,,
353,41,342,"11120500",SAN JOSE C NR GOLETA CA (USGS),,,,,,,,,,,,,,,
354,41,342,"11120510",SAN JOSE C A GOLETA CA (USGS),,,,,,,,,,,,,,,
667,41,666,"11120520 ",SAN PEDRO C A GOLETA CA,,,,,,,,,,,,,,,
355,41,343,"11120530",TECOLOTITO C NR GOLETA CA (USGS),,,,,,,,,,,,,,,
356,41,344,"11120550",GAVIOTA C NR GAVIOTA CA (USGS),,,,,,,,,,,,,,,
267,42,5,"12",Phoenix-Greenway,,,,,,,,,,,,,,,
249,33,37,"12",Meteorological Station 12,,,,,,,,,,,,,,,
268,42,5,"13",Marana,,,,,,,,,,,,,,,
269,42,5,"14",Yuma North-Gila,,,,,,,,,,,,,,,
270,42,5,"15",Phoenix-Encanto,,,,,,,,,,,,,,,
271,42,5,"16",Eloy,,,,,,,,,,,,,,,
272,42,5,"17",Dateland,,,,,,,,,,,,,,,
273,42,5,"18",Scottsdale,,,,,,,,,,,,,,,
111,8,9,"18",Weir Gauge #18,,,,,,,,,,,,,,,
274,42,5,"19",Paloma,,,,,,,,,,,,,,,
257,42,5,"2","Yuma Valley
",,,,,,,,,,,,,,,
113,8,9,"2",Weir Gauge #2,,,,,,,,,,,,,,,
275,42,5,"20",Mohave,,,,,,,,,,,,,,,
276,42,5,"21",Laveen,,,,,,,,,,,,,,,
504,42,5,"22",Queen Creek   ,,,,,,,,,,,,,,,
505,42,5,"23",Harquahala   ,,,,,,,,,,,,,,,
506,42,5,"24",Roll   ,,,,,,,,,,,,,,,
507,42,5,"25",Ciudad Obregon,,,,,,,,,,,,,,,
508,42,5,"26",Buckeye   ,,,,,,,,,,,,,,,
509,42,5,"27",Desert Ridge,,,,,,,,,,,,,,,
684,42,5,"28",Mohave 2,,,,,,,,,,,,,,,
685,42,5,"29",Mesa,,,,,,,,,,,,,,,
258,42,5,"3","Yuma Mesa
",,,,,,,,,,,,,,,
686,42,5,"30",Flagstaff,,,,,,,,,,,,,,,
687,42,5,"31",Prescott,,,,,,,,,,,,,,,
688,42,5,"32",Payson,,,,,,,,,,,,,,,
689,42,5,"33",Bowie,,,,,,,,,,,,,,,
690,42,5,"34",Kansas Settlement,,,,,,,,,,,,,,,
691,42,5,"35",Parker 2,,,,,,,,,,,,,,,
692,42,5,"36",Yuma South,,,,,,,,,,,,,,,
259,42,5,"4",Safford,,,,,,,,,,,,,,,
260,42,5,"5",Coolidge,,,,,,,,,,,,,,,
261,42,5,"6",Maricopa,,,,,,,,,,,,,,,
262,42,5,"7",Aguila,,,,,,,,,,,,,,,
110,8,9,"7",Weir Gauge #7,,,,,,,,,,,,,,,
563,51,560,"72K22",Yuin-lin Branch Station,,,,,,,,,,,,,,,
263,42,5,"8",Parker,,,,,,,,,,,,,,,
112,8,9,"8",Weir Gauge #8,,,,,,,,,,,,,,,
264,42,5,"9",Bonita,,,,,,,,,,,,,,,
756,41,749,AB00,Arroyo Burro Creek at Cliff Drive,,,,,,,,,,,,,,,
749,41,35,AB00,Arroyo Burro Creek at Cliff Drive,756,41,749,AB00,Arroyo Burro Creek at Cliff Drive,,,,,,,,,,
590,22,584,aiken_f5,Aiken Creek,,,,,,,,,,,,,,,
63,25,28,AIRPORTWOO,Noble F. Lee Municipal airport north of Minocqua,,,,,,,,,,,,,,,
525,26,526,ALBION,Albion Townsite,,,,,,,,,,,,,,,
383,25,28,Allequash,ALLEQUASH CREEK,390,25,383,"05357215","ALLEQUASH CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)",,,,,,,,,,
728,40,724,Alt_Baxley,Alt_Baxley  (USGS 02225000) ,,,,,,,,,,,,,,,
724,40,14,Alt_Baxley,Alt_Baxley watershed,728,40,724,Alt_Baxley,Alt_Baxley  (USGS 02225000) ,,,,,,,,,,
308,40,14,Altamaha,Altamaha River Basin,309,40,308,DOCTORTOWN,Doctor Town (USGS),,,,,,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,518,1,1,CENMET,Central Meteorological Station,,,,,,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,43,1,1,CS2MET,Climatic Station at WS#2                          ,,,,,,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,519,1,1,H15MET,Hi-15 Meteorological Station,,,,,,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,165,1,1,LOOKOUT,Lookout Creek Watershed,166,1,165,GSLOOK,Lookout Creek Gauging Station (USGS 14161500),,,,,
1,1,,AND,H.J. Andrews Experimental Forest,163,1,1,MACK,Mack Creek Watershed,164,1,163,GSMACK,Mack Creek Gauging Station,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,45,1,1,PRIMET,Primary Meteorological Station,,,,,,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,520,1,1,UPLMET,Upper Lookout Meteorological Station,,,,,,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,521,1,1,VANMET,Vanilla Leaf Meteorological Station,,,,,,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,44,1,1,WS01,Watershed 1,75,1,44,GSWS01,GSWS01,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,149,1,1,WS02,Watershed 2,150,1,149,GSWS02,GSWS02,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,151,1,1,WS03,Watershed 3,152,1,151,GSWS03,GSWS03,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,153,1,1,WS06,Watershed 6,154,1,153,GSWS06,GSWS06,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,155,1,1,WS07,Watershed 7,156,1,155,GSWS07,GSWS07,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,157,1,1,WS08,Watershed 8,158,1,157,GSWS08,GSWS08,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,159,1,1,WS09,Watershed 9,160,1,159,GSWS09,GSWS09,,,,,
1,1,,AND,H.J. Andrews Experimental Forest,161,1,1,WS10,Watershed 10,162,1,161,GSWS10,GSWS10,,,,,
595,22,585,andrsn_h1,Andersen Creek,,,,,,,,,,,,,,,
2,2,,ARC,Arctic Tundra,314,2,2,Kuparuk_ws,Kuparuk River,315,2,314,Kuparuk ,Kuparuk River,,,,,
2,2,,ARC,Arctic Tundra,319,2,2,Oksruku_ws,Oksrukuyik River,320,2,319,Oksrukuyik,Oksrukuyik River,,,,,
2,2,,ARC,Arctic Tundra,316,2,2,Tlk_Ilt_ws,Toolik Inlet,317,2,316,Tlk_Inlet ,Toolik Inlet,,,,,
2,2,,ARC,Arctic Tundra,46,2,2,TLKMAIN,Toolik Lake Field Station,,,,,,,,,,
146,5,6,ARF,ARF Temperature Station,,,,,,,,,,,,,,,
338,41,35,ARRBURRO,Arroyo Burro,350,41,338,"11119780",ARROYO BURRO A SANTA BARBARA CA (USGS),,,,,,,,,,
340,41,35,ATASCADERO,Atascadero Creek,351,41,340,"11119940",MARIA YGNACIO C A UNIV DR NR GOLETA CA (USGS),,,,,,,,,,
340,41,35,ATASCADERO,Atascadero Creek,352,41,340,"11120000",ATASCADERO C NR GOLETA CA (USGS),,,,,,,,,,
379,18,376,Augusta,"Augusta Creek Near Augusta, MI (USGS)",,,,,,,,,,,,,,,
376,18,21,Augusta,Augusta Creek,379,18,376,Augusta,"Augusta Creek Near Augusta, MI (USGS)",,,,,,,,,,
633,47,626,B200,Bull Creek Integrating ,,,,,,,,,,,,,,,
634,47,644,B201,Bull Creek B201,,,,,,,,,,,,,,,
635,47,645,B203,Bull Creek B203,,,,,,,,,,,,,,,
647,47,646,B204,Bull Creek 204,,,,,,,,,,,,,,,
573,3,571,BaismanRun,"Baisman Run at Broadmoor, MD (USGS 1583580)",,,,,,,,,,,,,,,
571,3,3,BaismanWS,Baisman Watershed,573,3,571,BaismanRun,"Baisman Run at Broadmoor, MD (USGS 1583580)",,,,,,,,,,
729,40,14,Baxley ,Baxley (NWS),,,,,,,,,,,,,,,
757,41,750,BC02,Bell Canyon Creek at Winchester Canyon Rd,,,,,,,,,,,,,,,
750,41,35,BC02,Bell Canyon Creek at Winchester Canyon Rd,757,41,750,BC02,Bell Canyon Creek at Winchester Canyon Rd,,,,,,,,,,
222,31,221,Bell_1,Bell 1 Watershed,,,,,,,,,,,,,,,
221,31,34,Bell_1,Bell 1 Watershed,222,31,221,Bell_1,Bell 1 Watershed,,,,,,,,,,
510,22,25,BENM,Beacon Valley,,,,,,,,,,,,,,,
3,3,,BES,Baltimore Ecosystem Study,571,3,3,BaismanWS,Baisman Watershed,573,3,571,BaismanRun,"Baisman Run at Broadmoor, MD (USGS 1583580)",,,,,
3,3,,BES,Baltimore Ecosystem Study,428,3,3,BWI,BWI Airport,,,,,,,,,,
3,3,,BES,Baltimore Ecosystem Study,475,3,3,DeadRunWS,Dead Run Watershed,478,3,475,DeadRun,Dead Run at Franklintown (USGS 01589330),,,,,
3,3,,BES,Baltimore Ecosystem Study,429,3,3,DMH,Inner Harbor,,,,,,,,,,
3,3,,BES,Baltimore Ecosystem Study,468,3,3,GwynnsWS,Gwynns Falls Watershed,471,3,468,CarrollPk,Gwynns Falls at Rt 1/Carroll Park (USGS 01589352),,,,,
3,3,,BES,Baltimore Ecosystem Study,468,3,3,GwynnsWS,Gwynns Falls Watershed,469,3,468,Glyndon ,Gwynns Falls at Glyndon (USGS 01589180 ),,,,,
3,3,,BES,Baltimore Ecosystem Study,468,3,3,GwynnsWS,Gwynns Falls Watershed,470,3,468,Gwynnbrook,Gwynns Falls at Gwynnbrook/Delight (USGS 01589197),,,,,
3,3,,BES,Baltimore Ecosystem Study,468,3,3,GwynnsWS,Gwynns Falls Watershed,575,3,468,GwynnsRun,Gwynns Run at Gwynns Falls (USGS 158935180),,,,,
3,3,,BES,Baltimore Ecosystem Study,468,3,3,GwynnsWS,Gwynns Falls Watershed,476,3,468,VillaNova,Gwynns Falls at Villa Nova (USGS 01589300),,,,,
3,3,,BES,Baltimore Ecosystem Study,404,3,3,Mcdonogh1,McDonogh Primary,,,,,,,,,,
3,3,,BES,Baltimore Ecosystem Study,474,3,3,McDonoughW,McDonough School Watershed,477,3,474,McDonough,McDonough School (USGS 01589238),,,,,
3,3,,BES,Baltimore Ecosystem Study,473,3,3,PndBrnchWS,Pond Branch Watershed,472,3,473,PondBranch,Pond Branch  (USGS 01583570),,,,,
3,3,,BES,Baltimore Ecosystem Study,572,3,3,RognelWS,Rognel Heights Watershed,574,3,572,RognelHgts,Rognel Heights storm sewer outfall at Baltimore (USGS 1589340),,,,,
672,15,671,Bigelow_L,Bigelow Brook Lower Watershed,,,,,,,,,,,,,,,
673,15,671,Bigelow_U,Bigelow Brook Upper Watershed,,,,,,,,,,,,,,,
671,15,18,Bigelow_WS,Bigelow Brook Watershed,672,15,671,Bigelow_L,Bigelow Brook Lower Watershed,,,,,,,,,,
671,15,18,Bigelow_WS,Bigelow Brook Watershed,673,15,671,Bigelow_U,Bigelow Brook Upper Watershed,,,,,,,,,,
606,17,20,BIODIVTBRG,Biodiversity site rain gauge,,,,,,,,,,,,,,,
425,24,424,BISCUIT,Biscuit Brook (USGS 01434025),,,,,,,,,,,,,,,
424,24,27,BISCUITBK,Biscuit Brook,425,24,424,BISCUIT,Biscuit Brook (USGS 01434025),,,,,,,,,,
467,20,23,BisleyMet,Bisley Tower,,,,,,,,,,,,,,,
294,32,36,BLUEGRAMA,Blue Grama (50),,,,,,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,660,4,4,C2,Caribou Watershed 2,663,4,660,C2_STRM,Caribou Watershed 2 stream gauge,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,661,4,4,C3,Caribou Watershed 3,664,4,661,C3_STRM,Caribou Watershed 3 stream gauge,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,415,4,4,C4,C4,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,662,4,4,C4,Caribou Watershed 4,665,4,662,C4_STRM,Caribou Watershed 4 stream gauge,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,659,4,4,CPCRW,Caribou-Poker Creeks Research Watershed,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,417,4,4,CPEAK,CPEAK,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,313,4,4,CRREL,CRREL,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,310,4,4,CT1600,CT1600,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,311,4,4,CT2100,CT2100,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,278,4,4,FP1A,FP1A,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,279,4,4,FP2A,FP2A,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,280,4,4,FP3A,FP3A,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,281,4,4,FP4A,FP4A,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,282,4,4,FP5A,FP5A,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,286,4,4,FP5C,FP5C,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,416,4,4,HELM,HELM,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,287,4,4,HR1A,HR1A,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,47,4,4,LTER1,LTER1,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,277,4,4,LTER2,LTER2,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,288,4,4,NUTR,NUTR,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,283,4,4,UP1A,UP1A,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,284,4,4,UP2A,UP2A,,,,,,,,,,
4,4,,BNZ,Bonanza Creek Experimental Forest,285,4,4,UP3A,UP3A,,,,,,,,,,
586,22,25,Bonney ,Bonney Basin,597,22,586,lawson_b3,Lawson Creek,,,,,,,,,,
586,22,25,Bonney ,Bonney Basin,598,22,586,priscu_b1,Priscu Stream,,,,,,,,,,
586,22,25,Bonney ,Bonney Basin,599,22,586,santafe_b2,Santa Fe Stream,,,,,,,,,,
54,22,25,BOYM,Lake Bonney,,,,,,,,,,,,,,,
55,22,25,BRHM,Lake Brownworth,,,,,,,,,,,,,,,
254,32,36,BRONCOWELL,Bronco Well (45),,,,,,,,,,,,,,,
730,40,14,Brunswick ,Brunswick  (NWS) ,,,,,,,,,,,,,,,
655,7,650,Bryson,"Tuckasegee River at Bryson City, NC (USGS 03513000)",,,,,,,,,,,,,,,
549,37,548,BUBBLING,Bubbling Creek Flume,,,,,,,,,,,,,,,
548,37,41,BUBBLING,Bubbling Creek Watershed,549,37,548,BUBBLING,Bubbling Creek Flume,,,,,,,,,,
138,16,19,BUCKMDWS,Buck Meadows,,,,,,,,,,,,,,,
640,47,414,bullM20,Lower Bull Met Station,,,,,,,,,,,,,,,
105,8,104,Burns,Burns,,,,,,,,,,,,,,,
104,8,9,Burns,Burns Watershed,105,8,104,Burns,Burns,,,,,,,,,,
428,3,3,BWI,BWI Airport,,,,,,,,,,,,,,,
524,26,29,C1,C-1 Meterological Station,,,,,,,,,,,,,,,
118,35,117,C1,C_1,,,,,,,,,,,,,,,
117,35,39,C1,C_1 Watershed,118,35,117,C1,C_1,,,,,,,,,,
434,39,431,C111_S18C,CANAL_111_S-18-C_FLORIDACITY (USGS 2290769),,,,,,,,,,,,,,,
660,4,4,C2,Caribou Watershed 2,663,4,660,C2_STRM,Caribou Watershed 2 stream gauge,,,,,,,,,,
663,4,660,C2_STRM,Caribou Watershed 2 stream gauge,,,,,,,,,,,,,,,
661,4,4,C3,Caribou Watershed 3,664,4,661,C3_STRM,Caribou Watershed 3 stream gauge,,,,,,,,,,
664,4,661,C3_STRM,Caribou Watershed 3 stream gauge,,,,,,,,,,,,,,,
415,4,4,C4,C4,,,,,,,,,,,,,,,
662,4,4,C4,Caribou Watershed 4,665,4,662,C4_STRM,Caribou Watershed 4 stream gauge,,,,,,,,,,
665,4,662,C4_STRM,Caribou Watershed 4 stream gauge,,,,,,,,,,,,,,,
511,22,25,CAAM,Canada Glacier,,,,,,,,,,,,,,,
126,35,125,CABIN5,Cabin_5,,,,,,,,,,,,,,,
125,35,39,CABIN5,Cabin_5 Watershed,126,35,125,CABIN5,Cabin_5,,,,,,,,,,
700,60,693,Calawah,Calawah watershed,704,60,700,Calawah_R,Calawah river (USGS 12043000),,,,,,,,,,
704,60,700,Calawah_R,Calawah river (USGS 12043000),,,,,,,,,,,,,,,
589,22,584,canada_f1,Canada Stream,,,,,,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,733,42,5,"09498500",SALT RIVER NEAR ROOSEVELT,734,42,733,"09498500","SALT RIVER NEAR ROOSEVELT, AZ",,,,,
5,42,,CAP,Central Arizona - Phoenix,735,42,5,"09499000","TONTO CREEK ABV GUN CREEK, NEAR ROOSEVELT",736,42,735,"09499000","TONTO CREEK ABV GUN CREEK, NEAR ROOSEVELT, AZ",,,,,
5,42,,CAP,Central Arizona - Phoenix,745,42,5,"09502000 ","SALT RIVER BLW STEWART MTN DAM, ABOVE VERDE RIVER",746,42,745,"09502000","SALT RIVER BLW STEWART MTN DAM, ABOVE VERDE RIVER",,,,,
5,42,,CAP,Central Arizona - Phoenix,739,42,5,"09508500",VERDE RIVER ABV HORSESHOE DAM ,740,42,739,"09508500",VERDE RIVER ABV HORSESHOE DAM ,,,,,
5,42,,CAP,Central Arizona - Phoenix,741,42,5,"09510000 ",VERDE RIVER BLW BARTLETT DAM,742,42,741,"09510000",VERDE RIVER BLW BARTLETT DAM,,,,,
5,42,,CAP,Central Arizona - Phoenix,737,42,5,"09510200",SYCAMORE CREEK,738,42,737,"09510200",SYCAMORE CREEK,,,,,
5,42,,CAP,Central Arizona - Phoenix,743,42,5,"09511300","VERDE RIVER NR SCOTTSDALE, BELOW SYCAMORE CREEK ",744,42,743,"09511300","VERDE RIVER NR SCOTTSDALE, BELOW SYCAMORE CREEK ",,,,,
5,42,,CAP,Central Arizona - Phoenix,256,42,5,"1",Tucson,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,265,42,5,"10",U of A Citrus Farm,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,266,42,5,"11",Litchfield Park,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,267,42,5,"12",Phoenix-Greenway,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,268,42,5,"13",Marana,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,269,42,5,"14",Yuma North-Gila,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,270,42,5,"15",Phoenix-Encanto,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,271,42,5,"16",Eloy,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,272,42,5,"17",Dateland,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,273,42,5,"18",Scottsdale,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,274,42,5,"19",Paloma,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,257,42,5,"2","Yuma Valley
",,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,275,42,5,"20",Mohave,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,276,42,5,"21",Laveen,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,504,42,5,"22",Queen Creek   ,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,505,42,5,"23",Harquahala   ,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,506,42,5,"24",Roll   ,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,507,42,5,"25",Ciudad Obregon,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,508,42,5,"26",Buckeye   ,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,509,42,5,"27",Desert Ridge,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,684,42,5,"28",Mohave 2,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,685,42,5,"29",Mesa,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,258,42,5,"3","Yuma Mesa
",,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,686,42,5,"30",Flagstaff,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,687,42,5,"31",Prescott,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,688,42,5,"32",Payson,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,689,42,5,"33",Bowie,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,690,42,5,"34",Kansas Settlement,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,691,42,5,"35",Parker 2,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,692,42,5,"36",Yuma South,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,259,42,5,"4",Safford,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,260,42,5,"5",Coolidge,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,261,42,5,"6",Maricopa,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,262,42,5,"7",Aguila,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,263,42,5,"8",Parker,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,264,42,5,"9",Bonita,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,289,42,5,DBG ,Desert Botanical Garden ,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,291,42,5,PH ,Presidents House ,,,,,,,,,,
5,42,,CAP,Central Arizona - Phoenix,290,42,5,TCS ,Community Services Building ,,,,,,,,,,
