site_name,res_site_id,site_id,res_site_parent_id,res_site_code,res_site_name,descriptor_type_name,descriptor_value,descriptor_type_unit
Bonanza Creek Experimental Forest,311,4,4,CT2100,CT2100,Longitude,-147.4923333,decimal degrees
Bonanza Creek Experimental Forest,278,4,4,FP1A,FP1A,Latitude,64.69888888,decimal degrees
Bonanza Creek Experimental Forest,278,4,4,FP1A,FP1A,Longitude,-148.255,decimal degrees
Bonanza Creek Experimental Forest,279,4,4,FP2A,FP2A,Latitude,64.69916666,decimal degrees
Bonanza Creek Experimental Forest,279,4,4,FP2A,FP2A,Longitude,-148.2508333,decimal degrees
Bonanza Creek Experimental Forest,280,4,4,FP3A,FP3A,Latitude,64.72333333,decimal degrees
Bonanza Creek Experimental Forest,280,4,4,FP3A,FP3A,Longitude,-148.1494444,decimal degrees
Bonanza Creek Experimental Forest,281,4,4,FP4A,FP4A,Latitude,64.67972222,decimal degrees
Bonanza Creek Experimental Forest,281,4,4,FP4A,FP4A,Longitude,-148.2347222,decimal degrees
Bonanza Creek Experimental Forest,282,4,4,FP5A,FP5A,Latitude,64.68333333,decimal degrees
Bonanza Creek Experimental Forest,282,4,4,FP5A,FP5A,Longitude,-148.2666667,decimal degrees
Bonanza Creek Experimental Forest,286,4,4,FP5C,FP5C,Latitude,64.71444444,decimal degrees
Bonanza Creek Experimental Forest,286,4,4,FP5C,FP5C,Longitude,-148.1452778,decimal degrees
Bonanza Creek Experimental Forest,416,4,4,HELM,HELM,Latitude,65.16894,decimal degrees
Bonanza Creek Experimental Forest,416,4,4,HELM,HELM,Longitude,-147.539397,decimal degrees
Bonanza Creek Experimental Forest,287,4,4,HR1A,HR1A,Latitude,65.17033333,decimal degrees
Bonanza Creek Experimental Forest,287,4,4,HR1A,HR1A,Longitude,-147.542,decimal degrees
Bonanza Creek Experimental Forest,47,4,4,LTER1,LTER1,Latitude,64.74167,decimal degrees
Bonanza Creek Experimental Forest,47,4,4,LTER1,LTER1,Longitude,-148.31389,decimal degrees
Bonanza Creek Experimental Forest,277,4,4,LTER2,LTER2,Latitude,64.69916666,decimal degrees
Bonanza Creek Experimental Forest,277,4,4,LTER2,LTER2,Longitude,-148.2508333,decimal degrees
Bonanza Creek Experimental Forest,283,4,4,UP1A,UP1A,Latitude,64.73611111,decimal degrees
Bonanza Creek Experimental Forest,283,4,4,UP1A,UP1A,Longitude,-148.3002778,decimal degrees
Bonanza Creek Experimental Forest,284,4,4,UP2A,UP2A,Latitude,64.69527777,decimal degrees
Bonanza Creek Experimental Forest,284,4,4,UP2A,UP2A,Longitude,-148.3563889,decimal degrees
Bonanza Creek Experimental Forest,285,4,4,UP3A,UP3A,Latitude,64.76805555,decimal degrees
Bonanza Creek Experimental Forest,285,4,4,UP3A,UP3A,Longitude,-148.2766667,decimal degrees
Caspar Creek Experimental Watersheds,146,5,6,ARF,ARF Temperature Station,Latitude,39.36233,decimal degrees
Caspar Creek Experimental Watersheds,146,5,6,ARF,ARF Temperature Station,Longitude,-123.73409,decimal degrees
Caspar Creek Experimental Watersheds,6,5,,CAS,Caspar Creek Experimental Watersheds,Site north bounding coordinate,39.37936,decimal degree
Caspar Creek Experimental Watersheds,6,5,,CAS,Caspar Creek Experimental Watersheds,Site west bounding coordinate,-123.75925,decimal degree
Caspar Creek Experimental Watersheds,6,5,,CAS,Caspar Creek Experimental Watersheds,Site south bounding coordinate,39.32693,decimal degree
Caspar Creek Experimental Watersheds,6,5,,CAS,Caspar Creek Experimental Watersheds,Site east bounding coordinate,-123.70192,decimal degree
Caspar Creek Experimental Watersheds,140,5,139,NFC,north Fork Caspar Creek,Latitude,39.36142,decimal degrees
Caspar Creek Experimental Watersheds,140,5,139,NFC,north Fork Caspar Creek,Longitude,-123.73443,decimal degrees
Caspar Creek Experimental Watersheds,143,5,6,NFC408,north Fork Caspar Creek 408 Precipitation Station,Latitude,39.37103,decimal degrees
Caspar Creek Experimental Watersheds,143,5,6,NFC408,north Fork Caspar Creek 408 Precipitation Station,Longitude,-123.70193,decimal degrees
Caspar Creek Experimental Watersheds,144,5,6,NFC620,north Fork Caspar Creek 620 Precipitation Station,Latitude,39.362,decimal degrees
Caspar Creek Experimental Watersheds,144,5,6,NFC620,north Fork Caspar Creek 620 Precipitation Station,Longitude,-123.735,decimal degrees
Caspar Creek Experimental Watersheds,139,5,6,NFC,north Fork Caspar Creek Watershed,north bounding coordinate,39.37936,decimal degrees
Caspar Creek Experimental Watersheds,139,5,6,NFC,north Fork Caspar Creek Watershed,west bounding coordinate,-123.7462,decimal degrees
Caspar Creek Experimental Watersheds,139,5,6,NFC,north Fork Caspar Creek Watershed,south bounding coordinate,39.35927,decimal degrees
Caspar Creek Experimental Watersheds,139,5,6,NFC,north Fork Caspar Creek Watershed,east bounding coordinate,-123.70192,decimal degrees
Caspar Creek Experimental Watersheds,147,5,6,QUE,QUE Temperature Station,Latitude,39.3394,decimal degrees
Caspar Creek Experimental Watersheds,147,5,6,QUE,QUE Temperature Station,Longitude,-123.75035,decimal degrees
Caspar Creek Experimental Watersheds,148,5,6,SOLAR,Solar Radiation,Latitude,39.35985,decimal degrees
Caspar Creek Experimental Watersheds,148,5,6,SOLAR,Solar Radiation,Longitude,-123.71732,decimal degrees
Caspar Creek Experimental Watersheds,142,5,141,SFC,south Fork Caspar Creek,Latitude,39.34139,decimal degrees
Caspar Creek Experimental Watersheds,142,5,141,SFC,south Fork Caspar Creek,Longitude,-123.7525,decimal degrees
Caspar Creek Experimental Watersheds,145,5,6,SFC620,south Fork Caspar Creek 620 Precipitation Station,Latitude,39.347,decimal degrees
Caspar Creek Experimental Watersheds,145,5,6,SFC620,south Fork Caspar Creek 620 Precipitation Station,Longitude,-123.753,decimal degrees
Caspar Creek Experimental Watersheds,141,5,6,SFC,south Fork Caspar Creek Watershed,north bounding coordinate,39.35191,decimal degrees
Caspar Creek Experimental Watersheds,141,5,6,SFC,south Fork Caspar Creek Watershed,west bounding coordinate,-123.75925,decimal degrees
Caspar Creek Experimental Watersheds,141,5,6,SFC,south Fork Caspar Creek Watershed,south bounding coordinate,39.32693,decimal degrees
Caspar Creek Experimental Watersheds,141,5,6,SFC,south Fork Caspar Creek Watershed,east bounding coordinate,-123.71279,decimal degrees
Cedar Creek Ecosystem Science Reserve,410,6,7,CC2,Cedar Creek 2,Latitude,45.4021,decimal degrees
Cedar Creek Ecosystem Science Reserve,410,6,7,CC2,Cedar Creek 2,Longitude,-93.2026,decimal degrees
Cedar Creek Ecosystem Science Reserve,7,6,,CDR,Cedar Creek Ecosystem Science Reserve,Site north bounding coordinate,45.44273,decimal degree
Cedar Creek Ecosystem Science Reserve,7,6,,CDR,Cedar Creek Ecosystem Science Reserve,Site west bounding coordinate,-93.2253,decimal degree
Cedar Creek Ecosystem Science Reserve,7,6,,CDR,Cedar Creek Ecosystem Science Reserve,Site south bounding coordinate,45.3852,decimal degree
Cedar Creek Ecosystem Science Reserve,7,6,,CDR,Cedar Creek Ecosystem Science Reserve,Site east bounding coordinate,-93.16266,decimal degree
Central Arizona - Phoenix,262,42,5,7,Aguila,Latitude,33.9466,decimal degrees
Central Arizona - Phoenix,262,42,5,7,Aguila,Longitude,-113.1889,decimal degrees
Central Arizona - Phoenix,264,42,5,9,Bonita,Latitude,32.4636,decimal degrees
Central Arizona - Phoenix,264,42,5,9,Bonita,Longitude,-109.9294,decimal degrees
Central Arizona - Phoenix,689,42,5,33,Bowie,Latitude,32.33,decimal degrees
Central Arizona - Phoenix,689,42,5,33,Bowie,Longitude,-109.48,decimal degrees
Central Arizona - Phoenix,508,42,5,26,Buckeye   ,Latitude,33.4,decimal degrees
Central Arizona - Phoenix,508,42,5,26,Buckeye   ,Longitude,-112.6833,decimal degrees
Central Arizona - Phoenix,5,42,,CAP,Central Arizona - Phoenix,Site north bounding coordinate,33.83801,decimal degree
Central Arizona - Phoenix,5,42,,CAP,Central Arizona - Phoenix,Site west bounding coordinate,-112.794316,decimal degree
Central Arizona - Phoenix,5,42,,CAP,Central Arizona - Phoenix,Site south bounding coordinate,33.198342,decimal degree
Central Arizona - Phoenix,5,42,,CAP,Central Arizona - Phoenix,Site east bounding coordinate,-111.566698,decimal degree
Central Arizona - Phoenix,507,42,5,25,Ciudad Obregon,Latitude,27.367,decimal degrees
Central Arizona - Phoenix,507,42,5,25,Ciudad Obregon,Longitude,-109.8833,decimal degrees
Central Arizona - Phoenix,260,42,5,5,Coolidge,Latitude,32.98,decimal degrees
Central Arizona - Phoenix,260,42,5,5,Coolidge,Longitude,-111.6047,decimal degrees
Central Arizona - Phoenix,272,42,5,17,Dateland,Latitude,32.9858,decimal degrees
Central Arizona - Phoenix,272,42,5,17,Dateland,Longitude,-113.4967,decimal degrees
Central Arizona - Phoenix,509,42,5,27,Desert Ridge,Latitude,33.7333,decimal degrees
Central Arizona - Phoenix,509,42,5,27,Desert Ridge,Longitude,-111.9667,decimal degrees
Central Arizona - Phoenix,271,42,5,16,Eloy,Latitude,32.7739,decimal degrees
Central Arizona - Phoenix,271,42,5,16,Eloy,Longitude,-111.5569,decimal degrees
Central Arizona - Phoenix,686,42,5,30,Flagstaff,Latitude,35.20972,decimal degrees
Central Arizona - Phoenix,686,42,5,30,Flagstaff,Longitude,-111.5792,decimal degrees
Central Arizona - Phoenix,505,42,5,23,Harquahala   ,Latitude,33.4833,decimal degrees
Central Arizona - Phoenix,505,42,5,23,Harquahala   ,Longitude,-113.1167,decimal degrees
Central Arizona - Phoenix,690,42,5,34,Kansas Settlement,Latitude,32.05,decimal degrees
Central Arizona - Phoenix,690,42,5,34,Kansas Settlement,Longitude,-109.73,decimal degrees
Central Arizona - Phoenix,276,42,5,21,Laveen,Latitude,33.3764,decimal degrees
Central Arizona - Phoenix,276,42,5,21,Laveen,Longitude,-112.15,decimal degrees
Central Arizona - Phoenix,266,42,5,11,Litchfield Park,Latitude,33.4672,decimal degrees
Central Arizona - Phoenix,266,42,5,11,Litchfield Park,Longitude,-112.3981,decimal degrees
Central Arizona - Phoenix,268,42,5,13,Marana,Latitude,32.4611,decimal degrees
Central Arizona - Phoenix,268,42,5,13,Marana,Longitude,-111.2333,decimal degrees
Central Arizona - Phoenix,261,42,5,6,Maricopa,Latitude,33.0686,decimal degrees
Central Arizona - Phoenix,261,42,5,6,Maricopa,Longitude,-111.9716,decimal degrees
Central Arizona - Phoenix,685,42,5,29,Mesa,Latitude,33.38667,decimal degrees
Central Arizona - Phoenix,685,42,5,29,Mesa,Longitude,-111.8675,decimal degrees
Central Arizona - Phoenix,275,42,5,20,Mohave,Latitude,34.9672,decimal degrees
Central Arizona - Phoenix,275,42,5,20,Mohave,Longitude,-114.6058,decimal degrees
Central Arizona - Phoenix,684,42,5,28,Mohave 2,Latitude,34.92778,decimal degrees
Central Arizona - Phoenix,684,42,5,28,Mohave 2,Longitude,-114.5617,decimal degrees
Central Arizona - Phoenix,274,42,5,19,Paloma,Latitude,32.9267,decimal degrees
Central Arizona - Phoenix,274,42,5,19,Paloma,Longitude,-112.8956,decimal degrees
Central Arizona - Phoenix,263,42,5,8,Parker,Latitude,33.8823,decimal degrees
Central Arizona - Phoenix,263,42,5,8,Parker,Longitude,-114.4478,decimal degrees
Central Arizona - Phoenix,691,42,5,35,Parker 2,Latitude,33.8828,decimal degrees
Central Arizona - Phoenix,691,42,5,35,Parker 2,Longitude,-114.4478,decimal degrees
Central Arizona - Phoenix,688,42,5,32,Payson,Latitude,34.2325,decimal degrees
Central Arizona - Phoenix,688,42,5,32,Payson,Longitude,-111.3442,decimal degrees
Central Arizona - Phoenix,270,42,5,15,Phoenix-Encanto,Latitude,33.4792,decimal degrees
Central Arizona - Phoenix,270,42,5,15,Phoenix-Encanto,Longitude,-112.0964,decimal degrees
Central Arizona - Phoenix,267,42,5,12,Phoenix-Greenway,Latitude,33.6214,decimal degrees
Central Arizona - Phoenix,267,42,5,12,Phoenix-Greenway,Longitude,-112.1083,decimal degrees
Central Arizona - Phoenix,687,42,5,31,Prescott,Latitude,34.59194,decimal degrees
Central Arizona - Phoenix,687,42,5,31,Prescott,Longitude,-112.4197,decimal degrees
Central Arizona - Phoenix,504,42,5,22,Queen Creek   ,Latitude,33.2583,decimal degrees
Central Arizona - Phoenix,504,42,5,22,Queen Creek   ,Longitude,-113.9611,decimal degrees
Central Arizona - Phoenix,506,42,5,24,Roll   ,Latitude,32.7444,decimal degrees
Central Arizona - Phoenix,506,42,5,24,Roll   ,Longitude,-113.9611,decimal degrees
Central Arizona - Phoenix,259,42,5,4,Safford,Latitude,32.8133,decimal degrees
Central Arizona - Phoenix,259,42,5,4,Safford,Longitude,-109.6783,decimal degrees
Central Arizona - Phoenix,746,42,745,9502000,SALT RIVER BLW STEWART MTN DAM  ABOVE VERDE RIVER,Latitude,33.5528,decimal degrees
Central Arizona - Phoenix,746,42,745,9502000,SALT RIVER BLW STEWART MTN DAM  ABOVE VERDE RIVER,Longitude,-111.5758,decimal degrees
Central Arizona - Phoenix,734,42,733,9498500,SALT RIVER NEAR ROOSEVELT  AZ,Latitude,33.6194,decimal degrees
Central Arizona - Phoenix,734,42,733,9498500,SALT RIVER NEAR ROOSEVELT  AZ,Longitude,-110.9208,decimal degrees
Central Arizona - Phoenix,273,42,5,18,Scottsdale,Latitude,33.6431,decimal degrees
Central Arizona - Phoenix,273,42,5,18,Scottsdale,Longitude,-111.9,decimal degrees
Central Arizona - Phoenix,738,42,737,9510200,SYCAMORE CREEK,Latitude,33.6942,decimal degrees
Central Arizona - Phoenix,738,42,737,9510200,SYCAMORE CREEK,Longitude,-111.5411,decimal degrees
Central Arizona - Phoenix,736,42,735,9499000,TONTO CREEK ABV GUN CREEK  NEAR ROOSEVELT  AZ,Latitude,33.98,decimal degrees
Central Arizona - Phoenix,736,42,735,9499000,TONTO CREEK ABV GUN CREEK  NEAR ROOSEVELT  AZ,Longitude,-111.3028,decimal degrees
Central Arizona - Phoenix,256,42,5,1,Tucson,Latitude,32.2803,decimal degrees
Central Arizona - Phoenix,256,42,5,1,Tucson,Longitude,-110.9458,decimal degrees
Central Arizona - Phoenix,265,42,5,10,U of A Citrus Farm,Latitude,33.6181,decimal degrees
Central Arizona - Phoenix,265,42,5,10,U of A Citrus Farm,Longitude,-112.4597,decimal degrees
Central Arizona - Phoenix,740,42,739,9508500,VERDE RIVER ABV HORSESHOE DAM ,Latitude,34.0731,decimal degrees
Central Arizona - Phoenix,740,42,739,9508500,VERDE RIVER ABV HORSESHOE DAM ,Longitude,-111.7156,decimal degrees
Central Arizona - Phoenix,742,42,741,9510000,VERDE RIVER BLW BARTLETT DAM,Latitude,33.8083,decimal degrees
Central Arizona - Phoenix,742,42,741,9510000,VERDE RIVER BLW BARTLETT DAM,Longitude,-111.6628,decimal degrees
Central Arizona - Phoenix,744,42,743,9511300,VERDE RIVER NR SCOTTSDALE  BELOW SYCAMORE CREEK ,Latitude,33.5586,decimal degrees
Central Arizona - Phoenix,744,42,743,9511300,VERDE RIVER NR SCOTTSDALE  BELOW SYCAMORE CREEK ,Longitude,-111.6686,decimal degrees
Central Arizona - Phoenix,258,42,5,3,"Yuma Mesa",Latitude,32.6119,decimal degrees
Central Arizona - Phoenix,258,42,5,3,"Yuma Mesa",Longitude,-114.6339,decimal degrees
Central Arizona - Phoenix,269,42,5,14,Yuma north-Gila,Latitude,32.7353,decimal degrees
Central Arizona - Phoenix,269,42,5,14,Yuma north-Gila,Longitude,-114.5294,decimal degrees
Central Arizona - Phoenix,692,42,5,36,Yuma south,Latitude,32.5469,decimal degrees
Central Arizona - Phoenix,692,42,5,36,Yuma south,Longitude,-114.7364,decimal degrees
Central Arizona - Phoenix,257,42,5,2,"Yuma Valley",Latitude,32.7125,decimal degrees
Central Arizona - Phoenix,257,42,5,2,"Yuma Valley",Longitude,-114.705,decimal degrees
Coweeta Hydrologic Laboratory,8,7,,CWT,Coweeta Hydrologic Laboratory,Site north bounding coordinate,35.074186,decimal degree
Coweeta Hydrologic Laboratory,8,7,,CWT,Coweeta Hydrologic Laboratory,Site west bounding coordinate,-83.478924,decimal degree
Coweeta Hydrologic Laboratory,8,7,,CWT,Coweeta Hydrologic Laboratory,Site south bounding coordinate,35.026968,decimal degree
Coweeta Hydrologic Laboratory,8,7,,CWT,Coweeta Hydrologic Laboratory,Site east bounding coordinate,-83.42091,decimal degree
Fernow Experimental Forest,103,9,11,STATIONB,Camp Hollow Station B,Latitude,39.05297,decimal degrees
Fernow Experimental Forest,103,9,11,STATIONB,Camp Hollow Station B,Longitude,-79.6856,decimal degrees
Fernow Experimental Forest,11,9,,FER,Fernow Experimental Forest,Site north bounding coordinate,39.07841,decimal degree
Fernow Experimental Forest,11,9,,FER,Fernow Experimental Forest,Site west bounding coordinate,-79.71409,decimal degree
Fernow Experimental Forest,11,9,,FER,Fernow Experimental Forest,Site south bounding coordinate,39.02686,decimal degree
Fernow Experimental Forest,11,9,,FER,Fernow Experimental Forest,Site east bounding coordinate,-79.64276,decimal degree
Fernow Experimental Forest,89,9,11,WS1,Watershed 1,north bounding coordinate,39.06142,decimal degrees
Fernow Experimental Forest,89,9,11,WS1,Watershed 1,west bounding coordinate,-79.67935,decimal degrees
Fernow Experimental Forest,89,9,11,WS1,Watershed 1,south bounding coordinate,39.05549,decimal degrees
Fernow Experimental Forest,89,9,11,WS1,Watershed 1,east bounding coordinate,-79.67116,decimal degrees
Fernow Experimental Forest,90,9,89,WS1,Watershed 1,Latitude,39.06007,decimal degrees
Fernow Experimental Forest,90,9,89,WS1,Watershed 1,Longitude,-79.67132,decimal degrees
Fernow Experimental Forest,91,9,11,WS2,Watershed 2,north bounding coordinate,39.05937,decimal degrees
Fernow Experimental Forest,91,9,11,WS2,Watershed 2,west bounding coordinate,-79.68517,decimal degrees
Fernow Experimental Forest,91,9,11,WS2,Watershed 2,south bounding coordinate,39.05377,decimal degrees
Fernow Experimental Forest,91,9,11,WS2,Watershed 2,east bounding coordinate,-79.68084,decimal degrees
Fernow Experimental Forest,92,9,91,WS2,Watershed 2,Latitude,39.05387,decimal degrees
Fernow Experimental Forest,92,9,91,WS2,Watershed 2,Longitude,-79.68258,decimal degrees
Fernow Experimental Forest,93,9,11,WS3,Watershed 3,north bounding coordinate,39.06225,decimal degrees
Fernow Experimental Forest,93,9,11,WS3,Watershed 3,west bounding coordinate,-79.69053,decimal degrees
Fernow Experimental Forest,93,9,11,WS3,Watershed 3,south bounding coordinate,39.05406,decimal degrees
Fernow Experimental Forest,93,9,11,WS3,Watershed 3,east bounding coordinate,-79.68314,decimal degrees
Fernow Experimental Forest,94,9,93,WS3,Watershed 3,Latitude,39.05413,decimal degrees
Fernow Experimental Forest,94,9,93,WS3,Watershed 3,Longitude,-79.68625,decimal degrees
Fernow Experimental Forest,95,9,11,WS4,Watershed 4,north bounding coordinate,39.06109,decimal degrees
Fernow Experimental Forest,95,9,11,WS4,Watershed 4,west bounding coordinate,-79.69552,decimal degrees
Fernow Experimental Forest,95,9,11,WS4,Watershed 4,south bounding coordinate,39.05259,decimal degrees
Fernow Experimental Forest,95,9,11,WS4,Watershed 4,east bounding coordinate,-79.68707,decimal degrees
Fernow Experimental Forest,96,9,95,WS4,Watershed 4,Latitude,39.05397,decimal degrees
Fernow Experimental Forest,96,9,95,WS4,Watershed 4,Longitude,-79.68714,decimal degrees
Fernow Experimental Forest,97,9,11,WS5,Watershed 5,north bounding coordinate,39.05322,decimal degrees
Fernow Experimental Forest,97,9,11,WS5,Watershed 5,west bounding coordinate,-79.69242,decimal degrees
Fernow Experimental Forest,97,9,11,WS5,Watershed 5,south bounding coordinate,39.04547,decimal degrees
Fernow Experimental Forest,97,9,11,WS5,Watershed 5,east bounding coordinate,-79.68301,decimal degrees
Fernow Experimental Forest,98,9,97,WS5,Watershed 5,Latitude,39.05239,decimal degrees
Fernow Experimental Forest,98,9,97,WS5,Watershed 5,Longitude,-79.6856,decimal degrees
Fernow Experimental Forest,99,9,11,WS6,Watershed 6,north bounding coordinate,39.07049,decimal degrees
Fernow Experimental Forest,99,9,11,WS6,Watershed 6,west bounding coordinate,-79.68016,decimal degrees
Fernow Experimental Forest,99,9,11,WS6,Watershed 6,south bounding coordinate,39.06602,decimal degrees
Fernow Experimental Forest,99,9,11,WS6,Watershed 6,east bounding coordinate,-79.67379,decimal degrees
Fernow Experimental Forest,100,9,99,WS6,Watershed 6,Latitude,39.06612,decimal degrees
Fernow Experimental Forest,100,9,99,WS6,Watershed 6,Longitude,-79.67698,decimal degrees
Fernow Experimental Forest,101,9,11,WS7,Watershed 7,north bounding coordinate,39.06588,decimal degrees
Fernow Experimental Forest,101,9,11,WS7,Watershed 7,west bounding coordinate,-79.68917,decimal degrees
Fernow Experimental Forest,101,9,11,WS7,Watershed 7,south bounding coordinate,39.0598,decimal degrees
Fernow Experimental Forest,101,9,11,WS7,Watershed 7,east bounding coordinate,-79.68027,decimal degrees
Fernow Experimental Forest,102,9,101,WS7,Watershed 7,Latitude,39.06388,decimal degrees
Fernow Experimental Forest,102,9,101,WS7,Watershed 7,Longitude,-79.68029,decimal degrees
Florida Coastal Everglades,434,39,431,C111_S18C,CANAL_111_S-18-C_FLORIDACITY (USGS 2290769),Latitude,25.3206,decimal degrees
Florida Coastal Everglades,434,39,431,C111_S18C,CANAL_111_S-18-C_FLORIDACITY (USGS 2290769),Longitude,-80.5253,decimal degrees
Florida Coastal Everglades,79,39,10,Everglades,Everglades NOAA,Latitude,25.85,decimal degrees
Florida Coastal Everglades,79,39,10,Everglades,Everglades NOAA,Longitude,-81.3833,decimal degrees
Florida Coastal Everglades,80,39,10,FlamingoRS,Flamingo Ranger Station NOAA,Latitude,25.15,decimal degrees
Florida Coastal Everglades,80,39,10,FlamingoRS,Flamingo Ranger Station NOAA,Longitude,-80.9167,decimal degrees
Florida Coastal Everglades,785,39,784,Flamingo_R,FLAMINGO RANGER STATION  FL US (USC00083020),Latitude,25.1422,decimal degrees
Florida Coastal Everglades,785,39,784,Flamingo_R,FLAMINGO RANGER STATION  FL US (USC00083020),Longitude,-80.9144,decimal degrees
Florida Coastal Everglades,437,39,431,LEVEE31_1,LEVEE_31_north_EXT_AT_1MILE_westMIAMI (USGS 22907647),Latitude,25.4781,decimal degrees
Florida Coastal Everglades,437,39,431,LEVEE31_1,LEVEE_31_north_EXT_AT_1MILE_westMIAMI (USGS 22907647),Longitude,-80.4981,decimal degrees
Florida Coastal Everglades,438,39,431,LEVEE31_3,LEVEE_31_north_EXT_AT_3MILE_westMIAMI  (USGS 2290765),Latitude,25.7464,decimal degrees
Florida Coastal Everglades,438,39,431,LEVEE31_3,LEVEE_31_north_EXT_AT_3MILE_westMIAMI  (USGS 2290765),Longitude,-80.4978,decimal degrees
Florida Coastal Everglades,439,39,431,LEVEE31_4,LEVEE_31_north_EXT_AT_4MILE_westMIAMI (USGS 2290766),Latitude,25.7017,decimal degrees
Florida Coastal Everglades,439,39,431,LEVEE31_4,LEVEE_31_north_EXT_AT_4MILE_westMIAMI (USGS 2290766),Longitude,-80.4961,decimal degrees
Florida Coastal Everglades,440,39,431,LEVEE31_5,LEVEE_31_north_EXT_AT_5MILE_westMIAMI (USGS 2290767),Latitude,25.6858,decimal degrees
Florida Coastal Everglades,440,39,431,LEVEE31_5,LEVEE_31_north_EXT_AT_5MILE_westMIAMI (USGS 2290767),Longitude,-80.4972,decimal degrees
Florida Coastal Everglades,441,39,431,LEVEE31_7,LEVEE_31_north_EXT_AT_7MILE_westMIAMI (USGS 2290768),Latitude,25.6631,decimal degrees
Florida Coastal Everglades,441,39,431,LEVEE31_7,LEVEE_31_north_EXT_AT_7MILE_westMIAMI (USGS 2290768),Longitude,-80.4983,decimal degrees
Florida Coastal Everglades,81,39,10,MIA,Miami Internation Airport NOAA,Latitude,25.8167,decimal degrees
Florida Coastal Everglades,81,39,10,MIA,Miami Internation Airport NOAA,Longitude,-80.3,decimal degrees
Florida Coastal Everglades,789,39,787,MIA_G,MIAMI INTERNATIONAL AIRPORT  FL US (USW00012839),Latitude,25.7881,decimal degrees
Florida Coastal Everglades,789,39,787,MIA_G,MIAMI INTERNATIONAL AIRPORT  FL US (USW00012839),Longitude,-80.3169,decimal degrees
Florida Coastal Everglades,448,39,431,WELLFIELD,NW_WELLFIELD_CANAL_NR_DADE_BROWARD_LEVEE_NR_PENN (USGS 2287497),Latitude,25.8911,decimal degrees
Florida Coastal Everglades,448,39,431,WELLFIELD,NW_WELLFIELD_CANAL_NR_DADE_BROWARD_LEVEE_NR_PENN (USGS 2287497),Longitude,-80.4369,decimal degrees
Florida Coastal Everglades,82,39,10,RoyalPalmR,Royal Palm Ranger Station NOAA,Latitude,25.3833,decimal degrees
