LTER_Site,Station,Date,Daily_AirTemp_Mean_C,Flag_Daily_AirTemp_Mean_C,Daily_AirTemp_AbsMax_C,Flag_Daily_AirTemp_AbsMax_C,Daily_AirTemp_AbsMin_C,Flag_Daily_AirTemp_AbsMin_C,Daily_Precip_Total_mm,Flag_Daily_Precip_Total_mm
FCE,EVERGLADES,19240314,13.65,,21.7,,5.6,,6.1,
FCE,EVERGLADES,19240315,13.05,,20,,6.1,,0,
FCE,EVERGLADES,19240316,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19240317,15,,23.9,,6.1,,0,
FCE,EVERGLADES,19240318,15.55,,24.4,,6.7,,0,
FCE,EVERGLADES,19240319,20.85,,26.1,,15.6,,0,
FCE,EVERGLADES,19240320,23.9,,26.1,,21.7,,4.3,
FCE,EVERGLADES,19240321,18.9,,22.8,,15,,0,
FCE,EVERGLADES,19240322,14.75,,20.6,,8.9,,0,
FCE,EVERGLADES,19240323,16.9,,24.4,,9.4,,0,
FCE,EVERGLADES,19240324,19.15,,26.1,,12.2,,0,
FCE,EVERGLADES,19240325,17.5,,25.6,,9.4,,0,
FCE,EVERGLADES,19240326,25.85,,31.7,,20,,0,
FCE,EVERGLADES,19240327,22.5,,30,,15,,0,
FCE,EVERGLADES,19240328,23.1,,30.6,,15.6,,0,
FCE,EVERGLADES,19240329,23.6,,28.9,,18.3,,0,
FCE,EVERGLADES,19240330,25,,30,,20,,0,
FCE,EVERGLADES,19240331,25.55,,30,,21.1,,0,
FCE,EVERGLADES,19240401,25.3,,30,,20.6,,0,
FCE,EVERGLADES,19240402,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19240403,23.3,,32.2,,14.4,,0,
FCE,EVERGLADES,19240404,22.8,,30,,15.6,,0,
FCE,EVERGLADES,19240405,24.45,,30,,18.9,,0,
FCE,EVERGLADES,19240406,23.85,,28.3,,19.4,,0,
FCE,EVERGLADES,19240407,25,,34.4,,15.6,,0,
FCE,EVERGLADES,19240408,24.45,,32.2,,16.7,,0,
FCE,EVERGLADES,19240409,25.3,,35,,15.6,,0,
FCE,EVERGLADES,19240410,26.1,,34.4,,17.8,,0,
FCE,EVERGLADES,19240411,26.95,,35,,18.9,,0,
FCE,EVERGLADES,19240412,28.35,,35.6,,21.1,,0,
FCE,EVERGLADES,19240413,27.75,,34.4,,21.1,,0,
FCE,EVERGLADES,19240414,27.2,,33.3,,21.1,,0,
FCE,EVERGLADES,19240415,24.15,,30,,18.3,,3.8,
FCE,EVERGLADES,19240416,23.3,,29.4,,17.2,,0,
FCE,EVERGLADES,19240417,26.35,,34.4,,18.3,,0,
FCE,EVERGLADES,19240418,28.65,,35.6,,21.7,,0,
FCE,EVERGLADES,19240419,26.95,,33.9,,20,,0,
FCE,EVERGLADES,19240420,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19240421,23.9,,32.2,,15.6,,8.9,
FCE,EVERGLADES,19240422,26.65,,33.3,,20,,0,
FCE,EVERGLADES,19240423,25.8,,33.3,,18.3,,6.1,
FCE,EVERGLADES,19240424,26.35,,34.4,,18.3,,0,
FCE,EVERGLADES,19240425,25.8,,33.3,,18.3,,0,
FCE,EVERGLADES,19240426,24.75,,33.9,,15.6,,0,
FCE,EVERGLADES,19240427,24.45,,33.3,,15.6,,0,
FCE,EVERGLADES,19240428,24.45,,32.2,,16.7,,0,
FCE,EVERGLADES,19240429,25,,33.3,,16.7,,0,
FCE,EVERGLADES,19240430,25.55,,32.8,,18.3,,0,
FCE,EVERGLADES,19240501,-9999,M,-9999,M,17.2,,0,
FCE,EVERGLADES,19240502,-9999,M,-9999,M,19.4,,0,
FCE,EVERGLADES,19240503,-9999,M,-9999,M,16.7,,0,
FCE,EVERGLADES,19240504,-9999,M,-9999,M,17.8,,0,
FCE,EVERGLADES,19240505,-9999,M,-9999,M,15.6,,22.9,
FCE,EVERGLADES,19240506,-9999,M,-9999,M,17.8,,0,
FCE,EVERGLADES,19240507,-9999,M,-9999,M,20,,22.9,
FCE,EVERGLADES,19240508,-9999,M,-9999,M,22.2,,0,
FCE,EVERGLADES,19240509,-9999,M,-9999,M,18.9,,0,
FCE,EVERGLADES,19240510,-9999,M,-9999,M,18.3,,0,
FCE,EVERGLADES,19240511,-9999,M,-9999,M,17.2,,0,
FCE,EVERGLADES,19240512,-9999,M,-9999,M,21.1,,0,
FCE,EVERGLADES,19240513,-9999,M,-9999,M,16.7,,0,
FCE,EVERGLADES,19240514,-9999,M,-9999,M,16.7,,0,
FCE,EVERGLADES,19240515,-9999,M,-9999,M,17.2,,0,
FCE,EVERGLADES,19240516,-9999,M,-9999,M,21.7,,0.5,
FCE,EVERGLADES,19240517,-9999,M,-9999,M,21.1,,0,
FCE,EVERGLADES,19240518,-9999,M,-9999,M,18.3,,22.9,
FCE,EVERGLADES,19240519,-9999,M,-9999,M,21.7,,0,
FCE,EVERGLADES,19240520,-9999,M,-9999,M,20,,0,
FCE,EVERGLADES,19240521,-9999,M,-9999,M,21.1,,0,
FCE,EVERGLADES,19240522,-9999,M,-9999,M,21.7,,0,
FCE,EVERGLADES,19240523,-9999,M,-9999,M,21.7,,0,
FCE,EVERGLADES,19240524,-9999,M,-9999,M,21.1,,0,
FCE,EVERGLADES,19240525,-9999,M,-9999,M,20.6,,0,
FCE,EVERGLADES,19240526,-9999,M,-9999,M,19.4,,0,
FCE,EVERGLADES,19240527,-9999,M,-9999,M,22.8,,0,
FCE,EVERGLADES,19240528,-9999,M,-9999,M,23.3,,2.5,
FCE,EVERGLADES,19240529,-9999,M,-9999,M,22.2,,22.9,
FCE,EVERGLADES,19240530,-9999,M,-9999,M,22.2,,0,
FCE,EVERGLADES,19240531,-9999,M,-9999,M,23.3,,0,
FCE,EVERGLADES,19240601,-9999,M,-9999,M,22.2,,0,
FCE,EVERGLADES,19240602,-9999,M,-9999,M,26.7,,0,
FCE,EVERGLADES,19240603,-9999,M,-9999,M,22.2,,0,
FCE,EVERGLADES,19240604,-9999,M,-9999,M,23.9,,0,
FCE,EVERGLADES,19240605,-9999,M,-9999,M,22.8,,0,
FCE,EVERGLADES,19240606,-9999,M,-9999,M,23.3,,2.3,
FCE,EVERGLADES,19240607,-9999,M,-9999,M,21.1,,43.2,
FCE,EVERGLADES,19240608,-9999,M,-9999,M,21.1,,12.7,
FCE,EVERGLADES,19240609,-9999,M,-9999,M,21.1,,4.6,
FCE,EVERGLADES,19240610,-9999,M,-9999,M,20,,0,
FCE,EVERGLADES,19240611,-9999,M,-9999,M,24.4,,1.5,
FCE,EVERGLADES,19240612,-9999,M,-9999,M,22.2,,27.9,
FCE,EVERGLADES,19240613,-9999,M,-9999,M,21.7,,0.8,
FCE,EVERGLADES,19240614,-9999,M,-9999,M,25,,2.5,
FCE,EVERGLADES,19240615,-9999,M,-9999,M,25,,5.1,
FCE,EVERGLADES,19240616,-9999,M,-9999,M,24.4,,0,
FCE,EVERGLADES,19240617,-9999,M,-9999,M,26.7,,0,
FCE,EVERGLADES,19240618,-9999,M,-9999,M,18.3,,2.8,
FCE,EVERGLADES,19240619,-9999,M,-9999,M,17.8,,2.5,
FCE,EVERGLADES,19240620,-9999,M,-9999,M,19.4,,0,
FCE,EVERGLADES,19240621,-9999,M,-9999,M,20,,0,
FCE,EVERGLADES,19240622,-9999,M,-9999,M,20.6,,0,
FCE,EVERGLADES,19240623,-9999,M,-9999,M,19.4,,1,
FCE,EVERGLADES,19240624,-9999,M,-9999,M,20,,10.2,
FCE,EVERGLADES,19240625,-9999,M,-9999,M,20.6,,37.1,
FCE,EVERGLADES,19240626,-9999,M,-9999,M,18.3,,25.4,
FCE,EVERGLADES,19240627,-9999,M,-9999,M,17.2,,0.3,
FCE,EVERGLADES,19240628,-9999,M,-9999,M,21.1,,0.3,
FCE,EVERGLADES,19240629,-9999,M,-9999,M,18.9,,0.3,
FCE,EVERGLADES,19240630,-9999,M,-9999,M,20,,1,
FCE,EVERGLADES,19261101,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261102,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261103,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261104,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261105,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261106,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261107,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261108,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261109,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261110,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261111,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261112,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261113,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261114,-9999,M,-9999,M,-9999,M,0,
FCE,EVERGLADES,19261115,24.7,,26.1,,23.3,,15.7,
FCE,EVERGLADES,19261116,20.85,,23.9,,17.8,,20.8,
FCE,EVERGLADES,19261117,18.3,,24.4,,12.2,,0,
FCE,EVERGLADES,19261118,20.25,,26.1,,14.4,,0,
FCE,EVERGLADES,19261119,16.95,,21.1,,12.8,,0,
FCE,EVERGLADES,19261120,14.75,,20.6,,8.9,,0,
FCE,EVERGLADES,19261121,16.65,,23.9,,9.4,,0,
FCE,EVERGLADES,19261122,19.45,,26.1,,12.8,,0,
FCE,EVERGLADES,19261123,20.55,,26.7,,14.4,,0,
FCE,EVERGLADES,19261124,21.7,,27.8,,15.6,,0,
FCE,EVERGLADES,19261125,21.7,,27.8,,15.6,,0,
FCE,EVERGLADES,19261126,22.8,,28.9,,16.7,,0,
FCE,EVERGLADES,19261127,23.35,,27.8,,18.9,,0.5,
FCE,EVERGLADES,19261128,20.3,,26.7,,13.9,,0,
FCE,EVERGLADES,19261129,21.95,,27.8,,16.1,,0,
FCE,EVERGLADES,19261130,22.5,,27.8,,17.2,,0,
FCE,EVERGLADES,19261201,21.4,,25,,17.8,,0,
FCE,EVERGLADES,19261202,17.5,,23.9,,11.1,,0,
FCE,EVERGLADES,19261203,19.2,,25.6,,12.8,,0,
FCE,EVERGLADES,19261204,19.7,,26.1,,13.3,,0,
FCE,EVERGLADES,19261205,20.8,,27.2,,14.4,,0,
FCE,EVERGLADES,19261206,20.85,,26.7,,15,,0,
FCE,EVERGLADES,19261207,20.3,,26.7,,13.9,,0,
FCE,EVERGLADES,19261208,21.1,,25,,17.2,,0.8,
FCE,EVERGLADES,19261209,21.65,,27.2,,16.1,,0,
FCE,EVERGLADES,19261210,21.4,,27.2,,15.6,,0,
FCE,EVERGLADES,19261211,19.75,,25.6,,13.9,,0,
FCE,EVERGLADES,19261212,21.15,,26.7,,15.6,,0,
FCE,EVERGLADES,19261213,22.5,,27.2,,17.8,,0,
FCE,EVERGLADES,19261214,22.8,,27.8,,17.8,,0,
FCE,EVERGLADES,19261215,22.5,,28.3,,16.7,,0,
FCE,EVERGLADES,19261216,23.3,,28.3,,18.3,,0,
FCE,EVERGLADES,19261217,22.2,,27.2,,17.2,,0,
FCE,EVERGLADES,19261218,20,,23.9,,16.1,,0,
FCE,EVERGLADES,19261219,18.85,,24.4,,13.3,,0,
FCE,EVERGLADES,19261220,19.45,,25.6,,13.3,,0,
FCE,EVERGLADES,19261221,22.25,,27.8,,16.7,,0,
FCE,EVERGLADES,19261222,21.95,,26.7,,17.2,,0,
FCE,EVERGLADES,19261223,21.95,,27.2,,16.7,,0,
FCE,EVERGLADES,19261224,22.2,,27.2,,17.2,,0,
FCE,EVERGLADES,19261225,21.95,,27.8,,16.1,,0,
FCE,EVERGLADES,19261226,22.25,,27.8,,16.7,,0,
FCE,EVERGLADES,19261227,23.05,,28.3,,17.8,,0,
FCE,EVERGLADES,19261228,21.7,,26.7,,16.7,,0.5,
FCE,EVERGLADES,19261229,21.95,,26.1,,17.8,,0,
FCE,EVERGLADES,19261230,13.05,,17.8,,8.3,,0,
FCE,EVERGLADES,19261231,11.1,,18.3,,3.9,,0,
FCE,EVERGLADES,19270101,14.45,,21.1,,7.8,,0,
FCE,EVERGLADES,19270102,10.85,,18.9,,2.8,,0,
FCE,EVERGLADES,19270103,12.2,,20,,4.4,,0,
FCE,EVERGLADES,19270104,15.55,,22.8,,8.3,,0,
FCE,EVERGLADES,19270105,18.05,,23.3,,12.8,,0,
FCE,EVERGLADES,19270106,15.8,,24.4,,7.2,,0,
FCE,EVERGLADES,19270107,16.65,,23.9,,9.4,,0,
FCE,EVERGLADES,19270108,18.05,,22.8,,13.3,,0,
FCE,EVERGLADES,19270109,18.05,,23.9,,12.2,,0,
FCE,EVERGLADES,19270110,15.55,,22.2,,8.9,,0,
FCE,EVERGLADES,19270111,9.15,,15,,3.3,,0,
FCE,EVERGLADES,19270112,9.45,,18.9,,0,,0,
FCE,EVERGLADES,19270113,17.5,,23.9,,11.1,,0,
FCE,EVERGLADES,19270114,20,,26.1,,13.9,,0,
FCE,EVERGLADES,19270115,16.65,,21.1,,12.2,,0,
FCE,EVERGLADES,19270116,11.65,,19.4,,3.9,,0,
FCE,EVERGLADES,19270117,15.85,,22.8,,8.9,,0,
FCE,EVERGLADES,19270118,18.6,,26.1,,11.1,,0,
FCE,EVERGLADES,19270119,20.25,,27.2,,13.3,,0,
FCE,EVERGLADES,19270120,21.65,,28.3,,15,,0,
FCE,EVERGLADES,19270121,21.1,,27.2,,15,,0,
FCE,EVERGLADES,19270122,20.55,,26.7,,14.4,,0,
FCE,EVERGLADES,19270123,20.8,,27.2,,14.4,,0,
FCE,EVERGLADES,19270124,20.85,,27.8,,13.9,,0,
FCE,EVERGLADES,19270125,20.55,,27.8,,13.3,,0,
FCE,EVERGLADES,19270126,20,,26.7,,13.3,,0,
FCE,EVERGLADES,19270127,19.15,,25,,13.3,,0,
FCE,EVERGLADES,19270128,16.65,,21.1,,12.2,,7.1,
FCE,EVERGLADES,19270129,20.85,,26.1,,15.6,,0,
FCE,EVERGLADES,19270130,20.3,,26.7,,13.9,,0,
FCE,EVERGLADES,19270131,20.85,,27.8,,13.9,,0,
FCE,EVERGLADES,19270201,20.85,,26.7,,15,,0,
FCE,EVERGLADES,19270202,20.55,,27.2,,13.9,,0,
FCE,EVERGLADES,19270203,20.85,,27.8,,13.9,,0,
FCE,EVERGLADES,19270204,21.1,,27.8,,14.4,,0,
FCE,EVERGLADES,19270205,20.85,,27.8,,13.9,,0,
FCE,EVERGLADES,19270206,21.1,,28.3,,13.9,,0,
FCE,EVERGLADES,19270207,21.65,,28.9,,14.4,,0,
FCE,EVERGLADES,19270208,21.95,,26.7,,17.2,,0,
FCE,EVERGLADES,19270209,22.2,,27.2,,17.2,,0,
FCE,EVERGLADES,19270210,22.5,,26.7,,18.3,,0,
FCE,EVERGLADES,19270211,20.6,,25.6,,15.6,,0,
FCE,EVERGLADES,19270212,21.1,,28.3,,13.9,,0,
FCE,EVERGLADES,19270213,20.8,,28.3,,13.3,,0,
FCE,EVERGLADES,19270214,22.8,,27.8,,17.8,,0,
FCE,EVERGLADES,19270215,23.6,,29.4,,17.8,,0,
FCE,EVERGLADES,19270216,22.8,,27.8,,17.8,,0,
FCE,EVERGLADES,19270217,22.5,,27.2,,17.8,,0,
FCE,EVERGLADES,19270218,22.75,,28.3,,17.2,,0,
FCE,EVERGLADES,19270219,22.25,,27.8,,16.7,,0,
FCE,EVERGLADES,19270220,14.4,,24.4,,4.4,,28.2,
FCE,EVERGLADES,19270221,14.4,,24.4,,4.4,,0,
FCE,EVERGLADES,19270222,16.95,,23.9,,10,,0,
FCE,EVERGLADES,19270223,20,,26.7,,13.3,,0,
FCE,EVERGLADES,19270224,21.7,,27.8,,15.6,,0,
FCE,EVERGLADES,19270225,21.65,,27.2,,16.1,,0,
FCE,EVERGLADES,19270226,24.45,,26.7,,22.2,,0,
FCE,EVERGLADES,19270227,20.55,,27.2,,13.9,,0,
FCE,EVERGLADES,19270228,22.2,,29.4,,15,,0,
FCE,EVERGLADES,19270301,21.1,,27.2,,15,,0,
FCE,EVERGLADES,19270302,18.9,,22.2,,15.6,,0,
FCE,EVERGLADES,19270303,10,,15.6,,4.4,,0,
FCE,EVERGLADES,19270304,11.1,,18.9,,3.3,,0,
FCE,EVERGLADES,19270305,15,,22.2,,7.8,,0,
FCE,EVERGLADES,19270306,18.05,,26.1,,10,,0,
FCE,EVERGLADES,19270307,18.35,,25.6,,11.1,,0,
FCE,EVERGLADES,19270308,20.55,,27.2,,13.9,,0,
FCE,EVERGLADES,19270309,23.05,,27.2,,18.9,,0,
FCE,EVERGLADES,19270310,23.6,,27.2,,20,,0,
FCE,EVERGLADES,19270311,22.75,,27.2,,18.3,,0,
FCE,EVERGLADES,19270312,23.05,,28.3,,17.8,,0,
FCE,EVERGLADES,19270313,22.2,,27.2,,17.2,,0,
FCE,EVERGLADES,19270314,21.95,,28.3,,15.6,,0,
FCE,EVERGLADES,19270315,22.5,,30,,15,,0,
FCE,EVERGLADES,19270316,23.9,,30.6,,17.2,,0,
FCE,EVERGLADES,19270317,23.9,,30,,17.8,,0,
FCE,EVERGLADES,19270318,22.8,,28.9,,16.7,,0,
FCE,EVERGLADES,19270319,23.35,,28.9,,17.8,,0,
FCE,EVERGLADES,19270320,23.3,,28.3,,18.3,,5.8,
FCE,EVERGLADES,19270321,22.8,,27.8,,17.8,,14.7,
FCE,EVERGLADES,19270322,23.05,,27.8,,18.3,,1.5,
FCE,EVERGLADES,19270323,21.7,,26.7,,16.7,,14.2,
FCE,EVERGLADES,19270324,18.05,,24.4,,11.7,,0,
FCE,EVERGLADES,19270325,16.1,,22.8,,9.4,,0,
FCE,EVERGLADES,19270326,18.65,,26.7,,10.6,,0,
FCE,EVERGLADES,19270327,18.9,,26.1,,11.7,,0,
FCE,EVERGLADES,19270328,21.65,,28.3,,15,,0,
FCE,EVERGLADES,19270329,23.05,,29.4,,16.7,,0,
FCE,EVERGLADES,19270330,21.95,,28.3,,15.6,,3.3,
FCE,EVERGLADES,19270331,22.2,,28.3,,16.1,,0,
FCE,EVERGLADES,19270401,21.65,,27.2,,16.1,,20.8,
FCE,EVERGLADES,19270402,22.5,,27.2,,17.8,,0,
FCE,EVERGLADES,19270403,23.85,,29.4,,18.3,,0,
FCE,EVERGLADES,19270404,23.6,,29.4,,17.8,,0,
FCE,EVERGLADES,19270405,24.15,,29.4,,18.9,,0,
FCE,EVERGLADES,19270406,25.55,,30,,21.1,,0,
FCE,EVERGLADES,19270407,24.2,,30.6,,17.8,,0,
FCE,EVERGLADES,19270408,22.8,,28.9,,16.7,,0,
FCE,EVERGLADES,19270409,22.5,,28.9,,16.1,,0,
FCE,EVERGLADES,19270410,23.35,,28.9,,17.8,,0,
FCE,EVERGLADES,19270411,24.45,,28.9,,20,,0,
FCE,EVERGLADES,19270412,22.5,,29.4,,15.6,,0,
FCE,EVERGLADES,19270413,22.5,,28.9,,16.1,,0,
FCE,EVERGLADES,19270414,22.8,,28.9,,16.7,,0,
FCE,EVERGLADES,19270415,23.3,,29.4,,17.2,,0,
FCE,EVERGLADES,19270416,22.5,,29.4,,15.6,,0,
FCE,EVERGLADES,19270417,23.35,,30,,16.7,,0,
FCE,EVERGLADES,19270418,23.65,,30.6,,16.7,,0,
FCE,EVERGLADES,19270419,23.65,,30.6,,16.7,,0,
FCE,EVERGLADES,19270420,23.9,,31.1,,16.7,,0,
FCE,EVERGLADES,19270421,22.5,,29.4,,15.6,,0,
FCE,EVERGLADES,19270422,23.05,,27.8,,18.3,,0,
FCE,EVERGLADES,19270423,23.85,,29.4,,18.3,,10.4,
FCE,EVERGLADES,19270424,23.6,,28.9,,18.3,,0,
FCE,EVERGLADES,19270425,23.35,,30,,16.7,,0,
FCE,EVERGLADES,19270426,23.05,,27.8,,18.3,,0,
FCE,EVERGLADES,19270427,23.05,,28.3,,17.8,,0,
FCE,EVERGLADES,19270428,23.6,,28.9,,18.3,,0,
FCE,EVERGLADES,19270429,23.85,,29.4,,18.3,,0,
FCE,EVERGLADES,19270430,23.85,,29.4,,18.3,,0,
FCE,EVERGLADES,19270501,22.8,,27.8,,17.8,,0,
FCE,EVERGLADES,19270502,23.6,,28.9,,18.3,,0,
FCE,EVERGLADES,19270503,23.6,,29.4,,17.8,,0,
FCE,EVERGLADES,19270504,23.85,,29.4,,18.3,,0,
FCE,EVERGLADES,19270505,24.15,,29.4,,18.9,,0,
FCE,EVERGLADES,19270506,25.55,,30,,21.1,,0,
FCE,EVERGLADES,19270507,24.45,,30.6,,18.3,,9.4,
FCE,EVERGLADES,19270508,24.45,,30.6,,18.3,,0,
FCE,EVERGLADES,19270509,24.75,,30.6,,18.9,,13.2,
FCE,EVERGLADES,19270510,25.3,,30.6,,20,,18,
FCE,EVERGLADES,19270511,25,,30,,20,,0,
FCE,EVERGLADES,19270512,26.1,,30,,22.2,,0,
FCE,EVERGLADES,19270513,26.15,,30.6,,21.7,,0,
FCE,EVERGLADES,19270514,26.65,,31.1,,22.2,,0,
FCE,EVERGLADES,19270515,25.6,,30.6,,20.6,,0,
FCE,EVERGLADES,19270516,22.8,,27.8,,17.8,,0,
FCE,EVERGLADES,19270517,20.25,,26.1,,14.4,,0,
FCE,EVERGLADES,19270518,21.65,,28.3,,15,,0,
FCE,EVERGLADES,19270519,23.65,,30.6,,16.7,,0,
FCE,EVERGLADES,19270520,24.45,,31.7,,17.2,,0,
FCE,EVERGLADES,19270521,27.5,,32.8,,22.2,,0,
FCE,EVERGLADES,19270522,26.65,,32.2,,21.1,,0,
FCE,EVERGLADES,19270523,27.25,,32.8,,21.7,,0,
FCE,EVERGLADES,19270524,27.5,,32.8,,22.2,,0,
FCE,EVERGLADES,19270525,25.3,,30.6,,20,,0,
FCE,EVERGLADES,19270526,25.85,,31.1,,20.6,,0,
FCE,EVERGLADES,19270527,26.4,,31.7,,21.1,,0,
FCE,EVERGLADES,19270528,26.7,,31.7,,21.7,,0,
FCE,EVERGLADES,19270529,27.2,,32.2,,22.2,,0,
FCE,EVERGLADES,19270530,27.8,,32.8,,22.8,,0,
FCE,EVERGLADES,19270531,27.2,,32.2,,22.2,,0,
FCE,EVERGLADES,19270601,26.95,,32.2,,21.7,,0,
FCE,EVERGLADES,19270602,27.5,,32.8,,22.2,,0,
FCE,EVERGLADES,19270603,27.2,,31.1,,23.3,,0,
FCE,EVERGLADES,19270604,27.25,,31.7,,22.8,,0,
FCE,EVERGLADES,19270605,27.5,,32.2,,22.8,,0,
FCE,EVERGLADES,19270606,28.35,,33.9,,22.8,,0,
FCE,EVERGLADES,19270607,26.4,,31.1,,21.7,,15.7,
FCE,EVERGLADES,19270608,26.15,,30.6,,21.7,,3.3,
FCE,EVERGLADES,19270609,26.1,,31.1,,21.1,,15.5,
FCE,EVERGLADES,19270610,26.7,,31.7,,21.7,,0,
FCE,EVERGLADES,19270611,27.2,,32.2,,22.2,,0,
FCE,EVERGLADES,19270612,27.2,,32.2,,22.2,,0,
FCE,EVERGLADES,19270613,27.2,,32.2,,22.2,,0,
FCE,EVERGLADES,19270614,27.75,,32.2,,23.3,,0,
FCE,EVERGLADES,19270615,28.3,,32.2,,24.4,,0,
FCE,EVERGLADES,19270616,27.5,,32.8,,22.2,,0,
FCE,EVERGLADES,19270617,28.3,,33.3,,23.3,,0,
FCE,EVERGLADES,19270618,28.3,,33.3,,23.3,,0,
FCE,EVERGLADES,19270619,28.05,,32.8,,23.3,,0,
FCE,EVERGLADES,19270620,28.05,,33.3,,22.8,,9.7,
FCE,EVERGLADES,19270621,27.75,,33.3,,22.2,,0,
FCE,EVERGLADES,19270622,27.75,,32.2,,23.3,,5.3,
FCE,EVERGLADES,19270623,27.8,,32.8,,22.8,,6.4,
FCE,EVERGLADES,19270624,27.2,,32.2,,22.2,,1.3,
FCE,EVERGLADES,19270625,27.5,,32.2,,22.8,,2,
FCE,EVERGLADES,19270626,27.75,,33.3,,22.2,,13.5,
FCE,EVERGLADES,19270627,26.4,,31.1,,21.7,,7.6,
FCE,EVERGLADES,19270628,27.5,,31.7,,23.3,,0,
FCE,EVERGLADES,19270629,29.2,,32.8,,25.6,,0,
FCE,EVERGLADES,19270630,28.3,,33.3,,23.3,,0,
FCE,EVERGLADES,19270701,29.7,,35,,24.4,,0,
FCE,EVERGLADES,19270702,28.3,,32.2,,24.4,,0,
FCE,EVERGLADES,19270703,28.3,,32.2,,24.4,,0,
FCE,EVERGLADES,19270704,28.85,,33.3,,24.4,,0,
FCE,EVERGLADES,19270705,28.6,,33.9,,23.3,,0,
